Spatial Distribution,Processor Utilization,Channel Utilization,Input Waiting Time,Channel Waiting Time
PS,0.781164,0.680347,245.813397,9.179881
PS,0.765629,0.784479,224.150588,25.114941
PS,0.721782,0.852083,204.244054,55.607788
PS,0.609036,0.79375,147.14324,149.28801
PS,0.600147,0.86,127.218886,202.291977
PS,0.545556,0.872326,91.945013,285.707153
PS,0.487692,0.856944,72.64524,365.927063
PS,0.450406,0.941562,77.53762,392.787323
PS,0.388274,0.869792,72.486585,483.779236
PS,0.904261,0.713958,416.99405,2.169803
PS,0.903137,0.740208,419.513506,10.854911
PS,0.888765,0.798229,392.270923,33.627537
PS,0.854246,0.85125,342.517993,85.455521
PS,0.791902,0.907639,264.207476,200.680069
PS,0.708413,0.937083,177.957505,362.55365
PS,0.612917,0.914618,147.050534,493.587738
PS,0.57831,0.953333,132.983807,574.596436
PS,0.508989,0.933125,109.738298,701.366394
PS,0.467505,0.939583,93.370477,808.651123
PS,0.965042,0.566181,630.808059,2.384536
PS,0.97462,0.704028,594.851999,12.422179
PS,0.965674,0.808437,564.654284,37.241966
PS,0.923701,0.865694,497.096637,104.177879
PS,0.845989,0.918403,324.235594,340.443665
PS,0.764771,0.941667,256.389778,504.08136
PS,0.672547,0.938194,194.248624,689.887268
PS,0.605648,0.966667,162.886466,832.789551
PS,0.547097,0.964062,129.470496,978.88269
PS,0.499688,0.963194,122.442908,1105.590332
PS,0.977722,0.556563,819.691756,2.383884
PS,0.986516,0.672708,793.754257,12.676008
PS,0.980612,0.785104,757.774533,39.742607
PS,0.965674,0.881111,662.787576,118.184151
PS,0.906607,0.941146,485.592935,970.432438
PS,0.79234,0.961042,363.094043,532.737732
PS,0.707199,0.981944,224.638088,751.67511
PS,0.61823,0.9625,206.922631,905.326843
PS,0.564482,0.979375,154.713952,1048.269897
PS,0.515257,0.980903,136.375081,1184.647461
